 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20
179,107.720,106.482,105.168,110.835,105.067,122.378,109.751,108.413,109.806,110.011,109.058,108.235,107.493,106.743,106.688,107.498,113.815,109.781,117.925,120.502
180,107.526,106.320,105.610,109.951,105.087,119.633,109.060,108.383,109.951,109.854,108.809,108.213,107.470,106.740,106.627,107.525,120.423,111.155,116.520,118.748
181,107.327,106.074,108.161,109.166,105.136,117.744,108.549,109.805,109.950,109.646,108.682,108.275,107.536,106.810,106.640,107.560,118.985,114.770,115.339,117.420
182,107.063,105.844,108.410,108.609,106.867,116.284,108.107,112.593,109.986,109.463,108.606,108.220,107.580,106.768,106.587,107.574,116.824,113.695,114.525,116.307
183,106.856,105.720,107.976,108.056,107.405,115.295,107.719,112.453,109.864,109.249,108.474,108.144,107.514,106.797,106.565,107.488,115.178,112.426,113.798,115.264
184,106.677,105.558,107.387,107.578,107.191,123.268,107.362,111.955,109.977,109.113,108.430,108.124,107.520,106.752,106.561,107.463,114.012,111.511,117.355,114.491
185,106.587,105.416,106.923,107.291,106.924,126.947,107.041,111.419,113.616,108.991,108.262,108.053,108.284,106.811,106.418,107.434,112.956,110.882,121.456,113.979
186,106.542,105.387,106.593,107.020,106.684,123.085,106.862,111.014,114.512,108.984,108.235,108.079,110.254,106.678,106.551,107.444,112.443,110.299,119.912,118.974
187,106.480,105.268,106.294,106.865,106.494,120.281,106.772,110.628,114.163,108.874,108.268,108.109,110.270,106.710,106.444,107.477,112.541,109.911,117.906,121.532
188,106.338,105.186,106.046,106.704,106.227,118.089,106.601,110.275,113.662,108.857,108.221,108.084,110.122,106.727,106.536,107.445,119.416,109.613,116.529,119.627
189,106.306,105.136,105.722,106.504,106.042,116.504,106.415,109.942,113.125,108.723,108.130,108.081,109.948,106.774,106.459,107.437,119.621,113.484,115.314,117.956
190,106.355,105.078,105.642,106.521,105.944,115.381,106.410,109.705,112.671,108.756,108.175,108.084,110.163,106.802,106.508,107.443,117.254,114.282,114.621,116.707
191,106.232,105.193,105.497,106.422,105.780,121.104,106.446,109.416,112.326,108.748,108.104,108.054,109.971,106.769,106.458,107.521,115.580,112.991,113.752,115.745
192,106.174,106.841,105.352,106.326,105.651,127.063,107.383,109.290,111.823,108.616,108.045,108.025,109.595,106.601,106.401,107.410,114.441,111.919,116.182,114.799
