 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20
1,109.340,108.839,108.148,118.598,107.572,105.046,106.150,106.865,108.133,107.278,107.831,108.617,108.892,105.383,111.112,107.327,109.285,107.344,106.531,112.201
2,109.252,108.939,108.020,116.797,107.362,104.912,106.057,106.862,108.083,107.142,107.788,108.298,108.255,105.125,110.575,107.205,109.043,107.207,106.442,112.330
3,109.112,114.042,107.927,115.459,107.336,104.935,105.994,106.886,108.093,107.057,107.732,108.210,107.840,105.047,110.369,107.172,108.785,107.177,106.500,111.814
4,109.061,115.062,107.890,114.453,107.290,104.939,105.964,110.261,108.090,107.002,107.746,107.999,107.542,106.145,109.904,107.221,108.676,107.188,106.418,111.433
5,109.035,113.726,108.129,113.581,107.190,104.891,106.027,112.169,108.114,106.907,107.667,107.915,107.216,107.417,109.771,107.195,108.463,107.054,106.442,110.927
6,109.017,112.592,111.371,119.755,107.180,104.920,106.026,111.790,108.115,107.402,107.655,108.987,106.993,107.079,109.636,107.273,108.478,107.188,106.502,110.481
7,109.745,111.702,111.806,123.782,107.178,104.872,105.933,111.029,108.072,112.731,107.590,112.426,106.940,106.609,109.389,107.230,108.409,107.251,106.533,110.148
8,113.474,110.876,111.095,121.425,107.142,104.845,105.938,110.251,108.068,113.348,107.626,112.450,106.741,106.217,109.249,108.652,108.351,109.426,106.470,109.749
9,113.639,110.347,110.538,119.300,111.683,104.865,105.950,109.703,108.100,112.463,107.591,111.724,106.676,105.936,109.190,112.157,108.386,109.568,106.435,109.527
10,112.701,110.210,109.962,117.405,113.517,104.862,105.958,109.164,108.122,111.466,107.602,110.949,106.540,105.617,109.051,111.859,108.219,108.900,106.467,109.263
11,111.979,114.624,109.426,116.001,112.517,104.857,105.843,108.672,108.008,110.575,107.521,110.247,106.529,105.334,108.891,111.156,108.221,108.441,106.413,108.955
12,111.329,116.100,109.069,114.835,111.521,104.871,105.940,108.330,108.008,109.850,107.579,109.721,106.442,105.223,108.881,110.508,108.073,108.050,106.495,108.865
13,110.944,114.736,108.836,113.928,110.815,105.913,105.997,108.072,108.069,109.326,107.654,109.387,106.519,105.140,108.998,109.992,108.173,107.963,106.475,108.758
14,110.457,113.351,108.568,116.345,110.053,106.203,105.959,107.891,108.064,108.822,107.528,108.983,106.482,104.977,108.913,109.489,108.130,107.677,106.423,108.692
15,110.226,112.304,108.453,123.912,109.434,106.002,105.971,107.717,108.045,108.357,107.575,109.103,106.820,106.162,108.908,108.976,108.237,107.557,106.583,108.616
16,109.934,111.501,108.204,122.433,109.004,105.790,105.915,107.613,108.112,108.039,107.570,110.283,109.845,107.369,109.029,108.626,108.149,107.498,106.469,108.556
17,109.706,110.718,108.133,120.054,108.502,105.586,106.040,107.494,108.097,107.839,107.552,110.053,109.793,107.079,108.812,108.349,108.155,107.346,106.535,108.440
18,109.554,110.314,109.320,118.193,108.291,105.392,109.454,107.351,109.728,107.635,107.542,109.521,109.224,106.737,108.789,108.095,108.163,107.281,106.449,108.396
19,109.383,112.649,112.158,116.490,108.070,105.287,111.105,107.214,111.093,107.374,107.568,109.201,108.663,106.294,108.911,108.008,108.112,107.279,106.599,108.385
20,109.290,116.539,111.857,115.365,107.894,105.223,110.603,107.238,110.825,107.347,107.562,108.893,108.207,105.938,108.857,107.814,108.152,107.148,106.611,108.351
21,109.206,115.419,111.075,114.306,107.694,105.129,109.826,107.183,110.437,107.201,107.609,108.572,107.821,105.599,108.804,107.689,108.081,107.200,110.465,108.284
22,111.770,113.971,110.470,114.370,107.686,105.106,109.241,107.133,110.199,107.194,107.632,108.457,107.518,105.523,108.877,107.741,108.133,107.186,111.396,108.257
23,114.160,112.802,109.922,122.647,107.463,105.008,108.644,107.083,109.780,107.095,107.562,108.278,107.201,105.416,112.216,107.621,108.137,107.122,110.869,108.236
24,113.480,111.927,109.573,123.365,107.479,104.988,108.117,107.115,109.610,107.063,107.624,108.485,107.117,105.150,119.292,107.504,108.219,107.253,110.325,108.326
25,112.556,111.000,109.141,121.078,107.363,104.930,107.713,107.011,109.300,107.330,107.589,109.717,106.987,105.077,118.802,107.470,108.155,109.099,109.556,108.269
26,111.868,110.511,108.851,118.875,107.497,104.938,107.297,107.047,109.096,112.628,107.614,109.643,106.866,104.997,117.499,107.501,108.168,109.678,109.189,108.219
27,111.288,111.069,108.608,117.274,112.727,104.915,107.029,106.975,108.985,113.620,107.825,109.403,106.759,104.869,116.118,107.374,108.098,109.097,108.682,108.212
28,110.931,110.654,108.465,115.869,113.782,104.930,106.936,106.995,108.915,112.742,111.588,109.104,106.684,104.994,114.831,107.301,108.215,108.701,108.313,108.307
29,110.533,110.128,108.355,114.810,112.804,104.964,106.690,107.024,108.719,111.694,112.553,108.793,106.693,106.641,113.796,107.618,108.297,108.458,107.962,108.277
30,110.249,109.615,108.266,113.986,111.819,104.906,106.650,106.965,108.714,110.920,112.220,108.628,106.589,107.334,112.883,111.804,108.282,108.055,107.801,108.208
31,109.987,109.293,108.157,119.615,110.949,104.893,106.505,107.041,109.376,110.177,111.673,108.376,106.530,106.978,112.050,112.463,108.251,107.874,107.543,108.173
32,109.726,108.920,108.021,124.304,110.182,104.889,106.387,106.947,111.730,109.445,111.009,108.173,106.486,106.502,111.553,111.749,108.182,107.713,107.368,108.153
33,109.644,108.864,108.058,121.971,109.621,105.029,106.361,106.951,111.694,109.022,110.520,108.270,106.522,106.170,111.046,111.155,108.311,107.575,107.231,108.299
34,109.513,112.246,108.851,119.851,109.207,106.256,106.248,107.011,111.256,108.520,110.127,109.575,106.514,105.803,110.608,110.457,109.736,107.469,107.162,108.259
35,109.450,115.650,112.016,117.855,108.793,106.266,106.255,106.993,110.899,108.244,109.721,109.731,106.451,105.694,110.332,109.968,115.426,107.399,107.059,108.186
36,109.302,114.455,111.785,116.306,108.497,106.042,106.208,106.948,110.505,107.956,109.409,109.364,108.724,105.457,110.044,109.399,115.068,107.345,107.009,108.251
37,110.801,113.237,111.186,115.305,108.290,105.838,106.178,107.035,110.170,107.754,109.114,109.097,110.150,105.261,109.895,109.034,113.988,107.306,106.958,108.239
38,114.126,112.167,110.483,114.153,108.021,105.623,106.123,107.170,109.749,107.533,108.766,108.722,109.610,105.121,109.507,108.720,112.863,107.131,106.886,108.129
39,113.737,111.254,109.896,116.751,107.805,105.443,106.148,111.439,109.610,107.427,108.606,108.491,108.970,105.975,109.458,108.399,112.140,107.170,106.752,108.177
40,112.939,110.686,109.608,124.417,107.778,105.370,106.192,112.395,109.397,107.317,108.522,108.366,108.499,107.638,109.485,108.290,111.515,107.250,106.803,108.212
