 ,Mean1,Mean2,Mean3,Mean4,Mean5
64,109.507,107.926,113.823,106.863,106.511
65,108.969,107.908,114.332,106.716,106.400
66,108.615,108.169,113.536,106.779,106.401
67,108.310,108.265,112.584,106.697,106.450
68,108.044,108.264,111.792,106.638,106.398
69,107.924,108.208,111.132,106.635,106.441
70,107.791,108.179,110.535,106.520,106.328
71,107.635,111.540,110.245,106.536,106.318
72,107.614,114.061,109.879,106.562,106.334
73,107.529,113.276,109.646,106.564,106.350
74,107.460,112.325,109.481,106.570,106.352
75,107.444,111.524,109.293,106.538,106.318
76,107.444,110.815,109.202,106.589,106.265
77,107.442,110.255,109.120,106.536,106.324
78,107.318,109.713,109.093,106.574,106.356
79,107.310,109.340,108.969,106.525,106.301
80,107.356,109.036,108.988,106.546,106.319
81,107.324,108.754,108.946,106.445,106.284
82,107.324,108.742,108.896,106.509,106.274
83,107.341,108.575,108.936,106.541,106.295
84,107.330,108.445,108.820,106.585,106.344
85,107.321,108.364,108.843,106.491,106.275
86,107.355,108.339,108.934,106.547,106.347
87,107.325,108.168,108.917,106.527,106.283
88,107.331,108.171,108.915,106.547,106.292
89,107.364,108.133,108.934,106.609,106.337
90,107.400,108.129,108.861,106.513,106.264
91,107.411,108.073,108.997,106.502,106.218
92,107.441,108.060,108.997,106.501,106.322
93,107.371,107.962,108.951,106.532,106.303
94,107.435,107.982,109.015,106.566,106.275
95,107.430,108.038,108.878,106.599,106.284
96,111.760,108.024,108.922,106.551,106.289
97,115.871,107.999,108.930,106.606,106.334
98,114.689,108.078,108.914,106.590,106.310
99,113.250,108.091,108.846,107.390,106.276
100,112.079,108.083,108.909,109.582,106.325
101,111.105,108.018,108.910,109.442,106.296
102,110.294,107.992,108.933,109.000,106.328
103,109.662,108.065,109.021,108.564,106.280
104,109.253,107.995,109.006,108.291,106.334
105,108.740,107.976,109.063,107.916,106.331
106,108.446,108.081,108.932,107.633,106.367
107,108.212,108.206,108.979,107.385,106.312
108,107.959,108.167,108.918,107.183,106.515
109,107.794,108.144,108.877,107.096,107.573
110,107.707,108.145,109.020,106.979,107.538
111,107.619,108.168,112.631,106.838,107.296
112,107.539,109.455,114.608,106.818,107.163
113,107.403,114.005,113.714,106.710,106.995
114,107.409,113.454,112.741,106.690,106.913
115,107.415,112.589,111.969,106.628,106.777
116,107.395,111.817,111.220,106.652,106.695
117,107.404,111.071,110.744,106.662,106.661
118,107.372,110.428,110.304,106.601,106.569
119,107.390,109.939,109.954,106.611,106.558
120,107.324,109.710,109.736,106.607,106.509
121,107.276,109.273,109.551,106.585,106.478
122,107.316,108.996,109.350,106.524,106.385
123,107.343,108.861,109.250,106.585,106.351
124,107.343,108.644,109.108,106.528,106.381
125,107.287,108.483,109.031,106.525,106.342
126,107.289,108.362,108.979,106.538,106.364
127,107.349,108.244,109.065,106.552,106.364
128,107.352,108.218,109.036,106.539,106.395
129,107.320,108.164,108.973,106.580,106.340
130,107.395,108.118,109.067,106.512,106.342
131,107.367,108.095,108.881,106.562,106.317
132,107.359,108.113,108.998,106.480,106.272
133,107.340,108.026,108.984,106.545,106.319
134,107.419,108.127,108.920,106.549,106.298
135,111.301,108.114,108.979,106.593,106.289
136,115.695,108.154,108.966,106.509,106.287
137,114.779,108.102,108.902,106.511,106.268
138,113.391,108.114,108.918,106.540,106.308
139,112.120,108.137,108.902,106.509,106.303
140,111.176,108.097,108.960,106.539,106.346
141,110.382,108.074,108.889,106.571,106.306
142,109.741,108.092,108.863,106.564,106.301
143,109.192,108.000,108.930,106.713,106.310
144,108.765,108.100,108.948,109.094,106.246
145,108.383,108.059,108.905,109.487,106.300
146,108.229,108.081,108.887,109.135,106.366
147,108.015,108.083,108.965,108.798,106.343
148,107.872,108.064,108.952,108.451,106.374
149,107.726,108.159,108.852,108.028,106.315
150,107.603,108.146,108.885,107.706,106.281
151,107.468,108.076,108.837,107.428,106.259
152,107.442,110.163,108.831,107.266,106.249
153,107.423,114.005,109.003,107.233,106.399
154,107.422,113.422,109.024,107.039,106.340
155,107.442,112.633,110.195,106.944,106.321
156,107.360,111.785,114.775,106.926,106.309
157,107.372,111.059,114.236,106.799,106.755
158,107.426,110.504,113.229,106.799,107.543
159,107.340,109.953,112.435,106.728,107.511
160,107.291,109.635,111.702,106.624,107.330
161,107.343,109.304,111.205,106.671,107.203
162,107.341,109.037,110.594,106.614,106.999
163,107.291,108.804,110.096,106.575,106.826
164,107.266,108.660,109.887,106.575,106.758
165,107.252,108.478,109.629,106.541,106.616
166,107.301,108.379,109.493,106.586,106.587
167,107.326,108.308,109.364,106.613,106.561
168,107.385,108.263,109.327,106.565,106.540
169,107.202,108.287,109.096,106.472,106.374
170,107.336,108.259,109.095,106.517,106.481
171,107.311,108.175,109.027,106.558,106.342
172,107.386,108.156,109.057,106.594,106.448
173,107.466,108.146,109.094,106.564,106.403
174,108.977,108.083,108.936,106.537,106.350
175,115.640,107.979,108.933,106.557,106.318
176,115.022,107.996,108.992,106.566,106.332
177,113.750,108.075,109.006,106.584,106.363
178,112.543,108.120,109.016,106.528,106.324
179,111.379,108.048,108.899,106.597,106.346
180,110.589,107.992,108.973,106.546,106.351
181,109.928,108.026,108.914,106.573,106.300
182,109.377,108.108,108.973,106.568,106.312
183,108.931,108.198,108.849,106.602,106.252
184,108.495,108.103,108.863,106.538,106.219
185,108.207,108.106,108.953,106.570,106.254
186,108.100,108.157,108.972,106.604,106.364
187,107.861,108.142,108.957,106.594,106.328
188,107.812,108.054,108.901,106.581,106.316
189,107.650,108.064,108.870,106.540,106.233
190,107.579,108.050,108.949,106.573,106.291
191,107.541,108.104,108.919,106.544,106.287
192,107.445,108.181,108.974,106.624,106.281
