 ,Mean1,Mean2,Mean3,Mean4,Mean5
1,107.346,108.962,108.934,106.565,106.936
2,107.330,108.669,108.834,106.530,106.823
3,107.282,108.533,108.907,106.532,106.736
4,107.275,108.369,108.941,106.506,106.654
5,107.316,108.289,108.806,106.465,106.558
6,107.291,108.265,108.828,106.464,106.500
7,107.281,108.307,108.869,106.496,106.457
8,107.345,108.203,108.922,106.512,106.440
9,107.316,108.140,108.836,106.835,106.465
10,107.191,108.089,108.777,109.301,106.380
11,107.195,107.966,108.789,109.259,106.298
12,107.350,108.056,108.857,108.979,106.372
13,107.322,108.029,108.940,108.510,106.300
14,107.362,107.971,108.788,108.115,106.330
15,109.194,107.942,108.871,107.837,106.362
16,115.694,107.930,108.973,107.576,106.297
17,114.921,107.925,112.118,107.290,106.304
18,113.601,107.935,114.582,107.141,106.246
19,112.313,108.004,113.709,107.091,106.284
20,111.290,107.997,112.729,106.975,106.321
21,110.476,108.020,111.953,106.806,106.335
22,109.752,108.027,111.262,106.726,106.277
23,109.166,107.957,110.641,106.684,106.256
24,108.727,107.985,110.168,106.602,106.240
25,108.354,107.954,109.846,106.555,106.215
26,108.056,107.920,109.594,106.519,106.236
27,107.915,108.096,109.347,106.605,106.320
28,107.837,108.137,109.336,106.587,106.197
29,107.657,108.258,109.156,106.579,106.345
30,107.568,111.498,109.107,106.589,106.254
31,107.423,113.870,108.954,106.418,106.219
32,107.470,113.041,109.025,106.553,106.277
33,107.366,112.132,108.939,106.512,106.247
34,107.361,111.467,108.901,106.525,106.214
35,107.307,110.706,108.823,106.505,106.264
36,107.334,110.114,108.833,106.517,106.206
37,107.297,109.649,108.913,106.519,106.272
38,107.356,109.296,108.894,106.488,106.379
39,107.353,109.050,108.835,106.482,106.310
40,107.303,108.885,108.837,106.482,106.335
41,107.350,108.743,108.909,106.539,106.322
42,107.320,108.601,108.895,106.509,106.325
43,107.367,108.461,108.890,106.504,106.297
44,107.377,108.396,108.893,106.516,106.303
45,107.415,108.313,108.912,106.516,106.293
46,107.379,108.186,108.924,106.493,106.303
47,107.376,108.129,108.947,106.524,106.338
48,107.312,108.078,108.841,106.511,106.314
49,107.322,108.059,108.879,106.529,106.389
50,107.339,108.004,108.959,106.562,106.366
51,107.286,108.038,108.859,106.602,106.338
52,107.352,108.017,108.889,108.005,106.888
53,107.351,107.932,108.829,109.500,107.504
54,107.322,108.071,108.843,109.242,107.446
55,107.446,108.145,108.960,108.871,107.322
56,107.477,108.091,108.911,108.450,107.190
57,113.696,108.114,108.887,108.105,107.016
58,115.455,108.125,108.950,107.802,106.901
59,114.164,107.997,108.874,107.514,106.751
60,112.938,107.953,108.859,107.348,106.751
61,111.824,108.060,108.855,107.202,106.646
62,110.864,108.068,108.946,107.093,106.579
63,110.134,107.964,109.164,106.944,106.472
