 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12,Mean13,Mean14,Mean15,Mean16,Mean17,Mean18,Mean19,Mean20
1,115.168,111.667,113.368,115.546,111.732,118.571,106.155,106.271,106.029,105.639,105.965,113.842,110.628,109.132,106.085,107.785,112.168,112.323,109.727,109.258
2,113.867,111.353,112.339,114.352,111.348,117.570,106.007,106.079,107.317,105.642,105.915,113.001,110.028,108.968,105.918,107.145,111.541,111.838,109.220,108.955
3,112.826,111.131,111.674,113.489,110.872,115.716,105.969,105.951,109.724,105.622,106.226,112.264,109.776,108.954,105.734,106.644,111.069,111.417,108.785,108.782
4,112.033,110.877,111.029,112.801,110.598,114.007,105.878,105.831,108.942,105.673,109.314,111.585,109.418,108.804,105.566,106.194,110.636,111.025,108.449,108.600
5,111.504,111.213,113.222,112.350,110.191,112.824,105.875,106.195,108.142,108.005,109.330,111.096,109.137,108.776,105.506,105.914,110.253,110.917,108.222,108.505
6,112.775,118.770,117.037,111.900,110.750,111.861,105.849,108.355,107.540,110.140,108.685,110.644,108.943,108.685,105.386,105.696,109.853,110.711,108.447,108.675
7,118.646,119.460,115.558,114.171,112.173,111.154,105.786,108.126,107.076,109.527,108.029,110.368,108.760,108.847,105.360,105.536,109.648,110.598,110.459,110.742
8,117.197,117.649,114.045,120.399,111.908,110.583,105.808,107.459,106.604,108.962,107.430,110.116,108.684,113.000,106.065,106.019,109.391,110.540,110.308,110.796
9,115.382,116.080,112.957,118.751,111.429,110.311,105.780,107.017,106.318,108.430,107.094,109.939,108.704,114.010,108.335,108.155,109.240,110.489,109.749,110.390
10,113.922,114.738,112.000,116.686,110.793,109.923,106.283,106.715,106.215,107.824,106.726,109.742,108.636,112.795,107.806,107.643,109.026,110.333,109.207,109.839
11,112.920,113.796,111.315,115.296,110.675,109.730,108.576,106.414,106.027,107.399,106.533,109.637,108.636,111.782,107.231,107.112,108.883,110.363,108.769,109.373
12,112.078,112.853,111.155,114.143,110.266,109.622,108.438,106.181,105.912,107.024,106.290,109.547,112.735,111.053,106.758,106.548,108.754,110.373,108.470,109.080
13,111.600,112.344,116.342,113.264,110.410,109.541,107.845,105.983,107.908,106.799,106.200,109.481,114.710,110.531,106.303,106.262,108.710,110.305,108.257,108.852
14,112.493,111.859,116.368,112.736,112.178,109.335,107.363,105.898,109.579,106.529,106.079,109.437,113.751,110.005,106.053,105.874,108.655,110.226,109.355,108.661
15,118.592,111.556,114.809,112.263,111.862,113.335,106.973,105.740,108.765,106.347,106.049,109.379,112.765,109.652,105.780,105.680,108.576,110.294,110.603,108.503
16,117.396,111.291,113.563,111.941,111.513,118.680,106.747,107.329,108.025,106.195,105.975,109.404,111.887,109.392,105.574,105.474,108.508,110.681,110.024,108.376
17,115.515,110.998,112.413,115.331,110.999,117.039,106.442,108.324,107.380,106.043,105.943,109.295,111.189,109.130,105.491,106.371,108.550,115.787,109.366,108.416
18,114.055,110.873,111.630,120.486,110.540,115.134,106.221,107.784,106.934,106.015,105.922,109.255,110.580,109.024,105.382,108.138,108.501,115.753,108.905,108.481
19,112.942,110.707,111.056,118.531,110.307,113.605,106.053,107.245,106.618,105.943,105.959,111.282,110.031,108.937,106.467,107.668,108.422,114.550,108.483,110.510
20,112.210,115.114,112.859,116.606,110.276,112.522,105.953,106.828,106.248,105.863,105.897,114.865,109.705,108.876,108.290,107.045,108.407,113.640,108.233,110.800
21,111.649,120.011,116.996,115.153,112.080,111.554,105.906,106.543,106.122,105.875,105.882,114.178,109.411,108.796,107.757,106.431,108.426,112.873,108.083,110.260
22,112.532,118.275,115.689,113.897,111.862,110.956,105.896,106.322,107.899,105.765,105.879,113.279,109.055,108.631,107.098,106.046,108.421,112.144,110.219,109.778
23,118.472,116.548,114.041,113.131,111.493,110.448,105.761,106.039,109.606,105.683,105.809,112.438,108.865,108.603,106.595,105.750,108.333,111.610,110.258,109.310
24,117.196,115.046,112.871,112.565,110.969,110.023,105.761,105.852,108.812,105.732,106.837,111.642,108.799,108.662,106.200,105.538,108.307,111.290,109.468,109.018
25,115.395,114.006,112.060,112.065,110.479,109.873,105.943,105.877,108.123,105.785,109.563,111.247,108.691,108.661,105.984,105.443,108.400,111.058,109.097,108.844
26,114.053,113.145,111.371,111.902,110.208,109.647,108.171,106.000,107.492,105.742,109.078,110.842,108.563,108.631,105.779,106.992,108.263,110.764,108.633,108.664
27,113.002,112.462,111.082,117.959,110.156,114.302,108.527,108.242,106.989,105.789,108.403,110.446,108.455,109.231,105.619,107.939,108.346,110.687,108.343,108.487
28,112.225,111.952,116.120,120.140,111.952,118.662,108.030,108.186,106.644,108.070,107.802,110.177,108.405,113.794,105.522,107.438,110.811,110.583,108.107,108.539
29,111.619,111.588,116.454,117.768,112.088,116.930,107.484,107.557,106.340,110.159,107.331,109.983,108.342,113.734,105.354,106.889,112.412,110.530,109.050,110.561
30,112.826,111.240,114.833,116.100,111.488,114.968,106.980,107.046,106.140,109.525,106.910,109.761,108.269,112.565,105.322,106.327,112.034,110.319,110.468,110.806
31,118.728,111.012,113.486,114.788,111.129,113.551,106.706,106.679,107.204,108.913,106.681,109.758,108.306,111.668,105.438,105.976,111.592,110.413,109.901,110.374
32,117.316,110.994,112.539,113.843,110.629,112.385,106.481,106.402,109.745,108.428,106.458,109.583,110.188,110.927,108.027,105.790,111.134,110.362,109.264,109.893
33,115.515,117.789,111.697,113.015,110.387,111.624,106.301,106.196,109.074,107.910,106.294,109.509,114.706,110.324,108.101,105.536,110.666,110.328,108.823,109.418
34,114.090,119.621,111.121,112.414,110.071,110.918,106.122,106.025,108.225,107.441,106.173,109.397,114.066,109.899,107.393,105.506,110.267,110.288,108.416,109.146
35,112.949,117.825,113.139,112.088,111.861,110.558,106.063,105.824,107.489,107.047,106.068,109.422,113.111,109.648,106.881,107.674,109.941,110.282,108.152,108.980
36,112.152,116.260,117.063,112.523,112.021,110.118,105.945,105.758,106.960,106.764,105.999,109.357,112.083,109.215,106.370,107.899,109.541,110.185,108.093,108.623
37,111.621,114.908,115.654,119.858,111.670,109.886,105.935,107.195,106.687,106.598,106.015,109.348,111.406,109.174,106.089,107.285,109.374,110.253,110.249,108.555
38,112.588,113.927,114.203,119.488,111.129,109.697,105.894,108.392,106.439,106.361,105.965,109.316,110.757,108.937,105.826,106.732,109.291,112.444,110.317,108.589
39,118.566,113.034,112.881,117.144,110.557,114.857,105.811,107.784,106.069,106.161,105.897,111.654,110.158,108.754,105.653,106.206,109.015,116.218,109.640,110.566
40,117.332,112.308,112.035,115.650,110.354,118.784,105.776,107.292,106.006,106.069,105.866,114.891,109.757,108.760,105.583,105.937,108.925,115.257,109.106,110.883
41,115.643,111.958,111.386,114.336,110.120,116.860,105.865,106.960,106.164,106.049,105.906,114.232,109.465,108.749,105.424,105.666,108.801,114.188,108.720,110.450
42,114.046,111.561,111.208,113.579,111.547,115.090,105.784,106.552,109.183,105.971,105.865,113.242,109.305,108.770,105.765,105.466,108.788,113.389,108.402,110.016
43,113.024,111.230,116.380,112.917,112.109,113.560,105.707,106.333,109.382,105.850,105.828,112.379,109.126,108.732,108.278,105.671,108.752,112.638,108.099,109.464
44,112.256,111.024,116.315,112.367,111.726,112.359,105.733,106.195,108.515,105.888,105.902,111.723,108.895,108.598,108.062,108.018,108.572,111.966,108.672,109.193
45,111.570,110.794,114.803,112.055,111.256,111.634,105.753,106.008,107.844,105.881,108.090,111.182,108.762,112.242,107.348,107.853,108.549,111.580,110.605,108.937
46,112.629,111.780,113.468,113.636,110.870,110.979,105.961,105.890,107.154,105.919,109.500,110.774,108.709,114.295,106.757,107.249,108.477,111.181,110.149,108.731
47,118.621,119.505,112.487,120.531,110.567,110.504,108.251,106.191,106.766,105.887,108.823,110.458,108.653,113.218,106.415,106.589,108.489,111.003,109.635,108.596
48,117.335,119.069,111.577,119.038,110.140,110.112,108.446,108.351,106.491,105.806,108.161,110.098,108.414,111.964,105.973,106.119,108.343,110.764,109.074,108.403
49,115.483,117.488,111.134,117.044,111.194,109.919,107.928,108.024,106.196,105.764,107.545,110.007,108.497,111.200,105.812,105.889,108.407,110.658,108.765,108.426
50,114.099,115.840,114.661,115.480,112.225,109.642,107.394,107.476,106.038,105.767,107.115,109.823,108.324,110.514,105.647,105.618,108.259,110.477,108.405,108.268
51,112.945,114.596,116.831,114.272,111.748,111.398,107.039,107.090,106.027,105.775,106.897,109.596,111.582,110.071,105.514,105.432,108.313,110.411,108.252,108.575
52,112.114,113.655,115.355,113.386,111.273,118.618,106.712,106.673,108.701,105.673,106.608,109.616,114.607,109.662,105.353,105.968,108.325,110.421,109.994,110.815
53,111.584,112.829,113.873,112.749,110.777,117.547,106.518,106.425,109.656,105.713,106.403,109.563,113.849,109.438,105.424,108.077,108.308,110.437,110.436,110.595
54,112.352,112.261,112.728,112.376,110.469,115.651,106.214,106.223,108.859,107.502,106.328,109.437,112.990,109.232,105.279,107.727,108.328,110.352,109.767,110.171
55,118.431,111.887,111.885,111.907,110.276,114.091,106.157,106.025,108.019,110.028,106.205,109.374,112.218,109.067,106.463,107.035,108.412,110.340,109.204,109.730
56,117.372,111.362,111.195,116.080,111.004,112.744,106.045,105.827,107.287,109.533,106.040,109.343,111.318,108.865,108.316,106.497,110.139,110.309,108.718,109.292
57,115.620,111.164,111.410,120.518,112.297,111.833,105.960,105.809,106.954,109.024,106.038,109.349,110.663,108.874,107.722,106.019,112.381,110.339,108.421,109.066
58,114.176,111.087,116.620,118.405,111.821,111.199,105.906,107.165,106.523,108.400,105.924,111.788,110.218,108.807,107.163,105.803,112.297,110.174,108.261,108.738
