 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9
83,109.172,108.880,109.887,110.210,109.603,109.733,109.134,107.457,108.960
84,111.780,108.470,109.538,109.553,108.767,111.940,109.526,107.470,108.378
85,110.802,108.135,110.741,108.893,108.194,110.446,108.559,108.695,107.919
86,109.747,108.226,112.915,109.564,107.826,109.407,109.654,108.271,107.608
87,109.069,111.933,112.053,109.906,107.384,111.456,109.253,107.616,107.393
88,111.827,111.354,111.160,109.241,107.197,111.182,108.466,107.230,107.221
89,110.918,110.347,110.530,108.861,107.687,109.850,109.748,108.540,107.080
90,109.873,109.562,109.970,110.253,109.945,110.014,108.852,108.470,107.580
91,109.021,108.945,109.642,109.543,109.283,111.864,108.739,107.827,109.065
92,111.183,108.445,109.526,108.827,108.409,110.407,109.697,107.351,108.600
93,111.245,108.103,112.793,109.725,107.933,109.417,108.705,107.979,108.167
94,110.082,108.235,112.456,109.925,107.675,111.865,109.307,108.711,107.751
95,109.152,111.936,111.554,109.121,107.321,111.035,109.410,108.098,107.379
96,110.521,111.340,110.842,108.905,107.419,109.792,108.482,107.516,108.781
97,111.407,110.253,110.254,110.194,109.980,110.416,109.537,107.334,109.094
98,110.219,109.610,109.865,109.555,109.332,111.707,109.052,108.708,108.659
99,109.399,108.948,109.501,108.861,108.650,110.187,108.620,108.356,108.029
100,110.065,108.454,111.594,109.756,108.045,109.499,109.856,107.664,107.717
101,111.704,108.129,112.813,109.892,107.627,111.905,108.858,107.341,107.478
102,110.471,108.306,111.823,109.076,107.432,110.873,108.972,108.462,107.281
103,109.411,112.015,111.027,108.980,107.174,109.702,109.581,108.472,107.147
104,109.725,111.311,110.468,110.237,108.974,110.404,108.685,107.949,107.082
105,111.898,110.310,110.003,109.384,109.734,111.639,109.514,107.461,108.890
106,110.562,109.413,109.681,108.828,108.797,110.246,109.238,107.822,108.781
107,109.562,108.944,112.545,109.978,108.343,109.474,108.403,108.668,108.286
108,109.213,108.488,112.640,109.845,107.817,112.147,109.867,108.088,107.873
109,112.003,108.136,111.740,109.111,107.507,110.900,109.009,107.570,107.664
110,110.813,108.205,110.986,109.104,107.317,109.720,108.760,107.314,108.465
111,109.774,111.891,110.359,110.269,107.526,110.983,109.725,108.797,109.223
112,109.073,111.459,109.955,109.321,110.050,111.697,108.677,108.309,108.651
