 ,Mean1,Mean2,Mean3,Mean4,Mean5,Mean6,Mean7,Mean8,Mean9,Mean10,Mean11,Mean12
63,113.560,111.701,110.701,109.221,107.705,110.331,106.782,110.444,107.461,106.865,106.436,107.860
64,111.971,114.297,110.258,111.432,107.110,109.943,106.589,109.749,107.232,106.695,106.156,108.294
65,111.100,113.069,109.848,111.143,106.653,109.909,106.471,109.268,106.979,108.294,108.230,109.373
66,110.254,111.978,109.533,110.578,106.461,109.848,106.377,108.932,106.870,108.516,107.997,108.916
67,109.913,111.235,109.639,110.118,106.227,110.682,106.367,108.665,106.836,107.857,107.282,108.367
68,110.074,113.991,113.052,109.730,106.703,110.184,107.978,110.542,108.579,107.420,106.785,108.051
69,114.647,113.567,112.482,109.356,109.990,110.017,107.810,111.984,108.441,107.023,106.323,107.839
70,113.260,112.318,111.749,109.050,109.527,109.858,107.418,111.134,107.993,106.767,106.079,108.919
71,111.703,111.372,110.977,111.019,108.699,110.092,107.113,110.199,107.625,106.855,108.054,109.254
72,110.793,112.795,110.445,111.284,107.979,110.408,106.765,109.649,107.292,108.643,108.028,108.674
73,110.142,113.843,109.961,110.768,107.343,109.908,106.609,109.208,107.104,108.304,107.342,108.284
74,109.768,112.591,109.593,110.233,106.846,109.971,106.482,108.830,106.866,107.692,106.889,107.971
75,110.276,111.651,109.583,109.703,106.558,109.718,106.407,108.630,106.854,107.368,106.417,107.703
76,114.631,111.735,113.190,109.347,106.221,110.446,106.319,109.834,106.741,106.900,106.093,109.368
77,112.929,114.225,112.692,109.071,106.223,110.265,106.511,111.976,108.390,106.685,107.887,109.006
78,111.617,113.035,111.872,110.104,109.727,109.994,108.100,111.076,108.524,107.106,108.030,108.342
79,110.748,111.883,111.102,111.572,109.749,109.962,107.699,110.143,108.070,108.739,107.376,108.189
80,110.084,111.159,110.485,110.814,108.874,109.684,107.299,109.614,107.593,108.168,106.819,107.855
81,109.764,114.101,110.056,110.383,108.050,110.539,107.004,109.173,107.330,107.597,106.448,108.212
82,110.471,113.366,109.712,109.843,107.447,110.120,106.731,108.774,107.028,107.281,106.141,109.290
83,114.726,112.175,109.502,109.432,106.985,110.051,106.604,108.582,106.910,106.879,107.471,108.818
84,112.948,111.314,112.131,109.202,106.708,109.755,106.462,109.237,106.802,106.660,108.161,108.413
85,111.549,113.235,112.844,109.625,106.326,110.123,106.312,112.033,106.720,107.677,107.396,107.971
86,110.696,113.784,112.135,111.701,106.243,110.532,106.339,111.290,106.699,108.635,106.888,107.773
87,110.063,112.422,111.160,111.024,108.946,109.949,107.020,110.288,108.370,107.948,106.411,108.850
88,109.632,111.411,110.580,110.363,109.916,109.958,107.946,109.652,108.357,107.446,106.159,109.138
89,111.312,112.326,110.106,109.965,109.052,109.661,107.537,109.242,107.933,107.098,107.437,108.636
90,114.365,114.044,109.745,109.439,108.055,110.317,107.127,108.800,107.530,106.813,108.132,108.226
91,112.676,112.710,109.525,109.284,107.473,110.240,106.798,108.593,107.240,106.606,107.382,107.946
92,111.466,111.709,112.289,109.309,107.125,110.029,106.637,111.190,107.037,108.415,106.909,107.745
93,110.613,111.289,112.819,111.475,106.661,109.921,106.491,111.567,108.191,108.413,106.424,109.456
94,110.074,114.245,112.067,111.165,106.424,109.880,106.428,110.875,108.885,107.784,106.157,108.951
95,109.631,113.195,111.174,110.555,106.145,110.560,106.317,110.032,108.315,107.319,107.159,108.526
96,112.069,111.986,110.523,110.071,107.053,110.136,106.824,109.552,107.837,107.046,108.150,108.117
97,114.305,111.270,110.077,109.624,110.050,110.072,108.060,109.063,107.534,106.751,107.504,107.873
98,112.574,114.023,109.735,109.274,109.445,109.796,107.673,109.059,107.243,106.829,106.916,108.078
99,111.274,113.514,109.474,109.127,108.532,109.935,107.261,112.313,107.273,108.690,106.515,109.341
100,110.467,112.311,111.484,111.153,107.879,110.420,106.928,111.674,108.973,108.282,106.222,108.903
101,110.010,111.237,113.001,111.323,107.203,110.047,106.655,110.600,108.633,107.641,106.888,108.353
102,109.630,113.213,112.219,110.750,106.853,109.997,106.543,109.999,108.153,107.430,108.295,107.988
103,113.171,113.878,111.336,110.180,106.528,109.666,106.449,109.322,107.777,106.932,107.611,107.798
104,113.971,112.584,110.674,109.818,106.226,110.409,106.336,108.988,107.317,106.651,106.964,108.800
105,112.269,111.535,110.165,109.322,106.149,110.314,106.737,108.704,107.125,107.271,106.525,109.220
106,111.204,112.266,109.764,109.102,109.678,110.107,108.084,108.548,106.966,108.678,106.243,108.779
107,110.451,114.214,109.462,110.378,109.824,109.879,107.670,110.624,106.794,108.132,106.618,108.375
108,109.839,112.740,109.202,111.311,108.811,109.704,107.121,111.795,107.463,107.585,108.286,107.880
109,109.567,111.838,112.127,110.853,108.099,110.483,106.942,110.921,108.776,107.215,107.671,107.808
110,113.559,111.516,112.867,110.218,107.450,110.105,106.734,110.181,108.359,106.829,107.077,109.321
111,113.761,114.253,111.867,110.007,107.041,110.162,106.590,109.560,107.843,106.652,106.622,109.134
112,112.152,113.228,111.178,109.454,106.608,109.779,106.428,109.118,107.484,107.907,106.307,108.531
113,110.973,112.031,110.521,109.130,106.306,110.058,106.325,110.759,107.200,108.557,106.470,108.140
114,110.335,111.202,110.029,109.902,106.116,110.387,106.487,112.104,107.007,107.955,108.335,107.727
115,109.875,113.985,109.729,111.509,109.124,110.099,108.074,111.160,106.916,107.499,107.682,108.135
116,109.566,113.493,109.507,111.021,109.873,109.934,107.742,110.320,106.744,107.145,107.112,109.459
117,113.936,112.334,112.119,110.419,109.073,109.674,107.287,109.719,106.629,106.819,106.634,109.060
118,113.768,111.299,112.842,109.914,108.192,110.284,106.927,109.144,106.832,106.604,106.234,108.385
119,112.120,113.370,112.047,109.601,107.573,110.190,106.773,108.925,108.601,108.385,106.335,108.058
120,111.047,113.792,111.271,109.299,106.927,110.077,106.608,108.888,108.372,108.483,108.369,107.742
121,110.257,112.665,110.587,109.356,106.695,109.755,106.464,112.117,107.915,107.861,107.851,108.693
122,109.967,111.581,110.139,111.501,106.397,109.948,106.340,111.593,107.514,107.359,107.206,109.263
123,109.748,112.489,109.755,111.115,106.190,110.605,106.396,110.592,107.233,107.051,106.683,108.781
124,114.456,114.090,109.531,110.540,106.582,110.110,107.996,109.901,107.030,106.738,106.317,108.284
125,113.536,112.799,111.338,110.095,110.079,110.050,107.693,109.356,107.640,106.738,106.168,107.955
126,112.055,111.800,113.118,109.553,109.568,109.743,107.295,108.957,108.831,108.712,108.336,107.741
127,110.938,111.635,112.198,109.388,108.707,110.007,106.997,108.739,108.390,108.267,107.871,109.138
128,110.282,114.277,111.313,109.079,107.943,110.343,106.719,108.529,107.904,107.695,107.219,109.086
129,109.787,113.209,110.684,110.974,107.344,110.040,106.589,108.460,107.528,107.284,106.741,108.694
130,109.876,112.128,110.185,111.229,106.874,109.889,106.496,110.096,107.245,106.957,106.391,108.109
131,114.661,111.290,109.831,110.628,106.528,109.700,106.415,111.707,107.059,106.638,106.119,107.925
132,113.209,114.013,109.543,110.234,106.337,110.454,106.294,110.797,106.867,107.221,108.185,107.718
133,111.720,113.517,109.562,109.722,106.184,110.232,106.385,110.001,106.814,108.736,107.930,109.380
134,110.773,112.226,112.916,109.395,109.298,110.139,107.959,109.477,106.672,108.085,107.291,108.934
135,110.174,111.294,112.626,109.088,109.779,109.858,107.758,109.023,107.957,107.600,106.716,108.559
136,109.669,113.193,111.686,110.707,108.921,109.623,107.332,108.758,108.537,107.247,106.326,108.116
137,110.181,113.771,111.046,111.401,108.281,110.499,106.986,108.463,108.086,106.844,106.098,107.821
138,114.630,112.464,110.405,110.731,107.650,110.115,106.750,108.437,107.650,106.704,107.878,108.191
139,112.982,111.464,109.945,110.208,107.033,110.011,106.505,108.293,107.332,107.587,107.996,109.284
140,111.479,112.401,109.527,109.634,106.504,109.569,106.376,110.424,106.995,108.520,107.238,108.755
141,110.815,114.004,109.431,109.415,106.414,110.136,106.399,111.630,107.007,107.948,106.795,108.346
142,110.056,112.837,109.517,109.133,106.243,110.381,106.298,110.626,108.546,107.501,106.433,108.057
143,109.633,111.605,112.832,109.949,107.950,110.014,107.579,109.850,108.582,107.074,106.070,107.699
144,110.953,111.703,112.388,111.370,110.024,109.920,107.845,109.374,108.177,106.802,107.477,108.814
145,114.558,114.228,111.571,110.964,109.221,109.567,107.430,108.958,107.720,106.550,108.060,109.175
146,112.778,113.096,110.839,110.383,108.459,110.287,107.117,108.681,107.351,108.214,107.412,108.789
147,111.327,111.760,110.242,109.737,107.636,110.092,106.694,108.440,107.060,108.453,106.844,108.089
148,110.588,111.207,109.802,109.399,107.108,110.005,106.543,108.325,108.522,107.783,106.425,107.843
149,110.002,114.085,109.579,109.146,106.850,109.796,106.436,108.902,108.795,107.446,106.129,107.673
150,109.579,113.304,109.317,109.420,106.471,109.737,106.374,111.948,108.295,107.027,107.152,109.329
151,111.375,112.037,109.142,111.433,106.293,110.520,106.236,111.028,107.843,106.771,108.211,109.030
152,114.520,111.150,111.808,111.020,106.326,110.165,107.383,110.216,107.486,106.783,107.539,108.549
153,112.699,113.578,112.759,110.489,109.907,110.057,107.935,109.709,107.235,108.642,106.929,108.087
